subject,total_questions,correct,wrong,study_time,difficulty,current_net,target_net,predicted_net
organic chemistry,37,7,30,57,1.0636342382753199,-0.5,18.423653124521636,0.0
history,41,15,26,194,0.7943168220790825,8.5,16.28454070066875,17.520553085685748
health science,22,14,8,130,0.6355452243893935,12.0,25.381842244290333,19.448091582819895
curriculum studies,28,3,25,86,1.0897486268402434,-3.25,4.125178715929245,0.0
physical chemistry,35,29,6,132,1.0826295546631202,27.5,39.98411487589154,31.46441855855573
creative writing,21,2,19,240,0.9849808741335858,-2.75,8.839190507096733,2.646767647477966
data science,19,9,10,162,1.155611878852615,6.5,22.463785933900503,13.457877362611553
networking,35,7,28,113,1.2684267834052596,0.0,18.974795170547335,1.0440667850371756
medicine,47,35,12,12,0.7240719550369896,32.0,50.30184527448521,30.764929074915855
calculus,16,7,9,81,1.4073603780863035,4.75,13.374175016532309,5.431696628950864
compiler design,35,21,14,195,1.0537367612718849,17.5,22.83919305624658,27.53453887412344
chemistry,33,32,1,97,0.5259613742076392,31.75,38.65759879388505,32.49898691344676
theater,31,0,31,10,1.3190947418192387,-7.75,4.884318549177987,0.0
linear algebra,15,12,3,84,1.3359738790063362,11.25,16.32809033042082,15.40673704096556
finance,34,16,18,93,0.747147990606139,11.5,26.625251714305517,14.26736169750165
networking,42,17,25,18,0.7965471366908183,10.75,21.289116512032685,8.312875535939774
environmental science,30,15,15,107,1.2742680918545106,11.25,16.322663443173607,15.877289109135926
thermodynamics,29,28,1,109,1.2891029631859536,27.75,35.22370754781517,29.019579799885538
political science,50,7,43,130,0.8263292333985692,-3.75,6.951249945893878,3.697597281078042
fashion design,50,45,5,127,1.3335209201494873,43.75,50.25688869965278,49.16087791136573
cyber security,43,19,24,17,0.6897731638948807,13.0,23.486433241856446,11.178993925711808
astronomy,49,36,13,218,1.4326053552371376,32.75,40.763333419077526,36.52019603670139
discrete math,46,34,12,125,0.6568249963153123,31.0,42.74006537875788,37.72216765251524
biochemistry,19,7,12,170,1.0231501036817228,4.0,23.93862723927986,13.464362819077454
translation studies,37,9,28,76,1.0991580187590526,2.0,19.486244790851238,3.510461727945977
education,18,3,15,57,0.9121855637683738,-0.75,18.641365554110152,0.0
game development,23,22,1,55,1.3231741857468982,21.75,34.77803776710347,24.421559594312022
operating systems,12,6,6,200,1.3815560532508147,4.5,12.411291557552927,11.95857739288786
music history,38,9,29,106,1.1398523182387708,1.75,19.34327564117938,1.7761572491000939
materials science,45,28,17,145,1.0997237943905203,23.75,43.10232744649841,25.829449704128876
data science,28,21,7,201,1.3086745108909312,19.25,32.10378937305438,32.2339535115911
chemistry,48,0,48,12,0.6948665902942969,-12.0,6.750384739289963,0.0
thermodynamics,11,1,10,80,1.1869804142968237,-1.5,10.09326236610032,0.1436456853175625
international relations,17,3,14,166,0.9754542632879692,-0.5,19.35160698533202,2.6354074079694354
math,22,0,22,186,0.7033641188434081,-5.5,6.9020572001777545,3.6654869146809497
entrepreneurship,29,13,16,168,1.3073492905450774,9.0,23.60042174309374,14.422816348734424
oceanography,15,9,6,100,0.5675071678689284,7.5,17.829748272115257,9.141465056538827
cyber security,26,12,14,216,0.5325075512637747,8.5,16.020614879887546,15.583792845640215
theater,41,7,34,117,1.2278403314801498,-1.5,7.619575540366867,1.874319130158765
thermodynamics,30,24,6,28,1.485123349018835,22.5,37.18828841864949,22.425273694110615
music history,48,34,14,232,0.5898027023518037,30.5,43.324277976231286,43.669103855498825
graphic design,21,13,8,163,1.0127140608582523,11.0,24.871196239695305,16.792858308850384
chemistry,47,9,38,90,0.8566500616778173,-0.5,11.078744033123355,2.9075725738691025
dentistry,15,3,12,106,1.1420957064005304,0.0,8.912339820132146,2.1713985466467314
machine learning,31,27,4,141,0.6194811254964968,26.0,36.31219933362816,30.449617032678113
instructional design,25,3,22,134,0.8670954489339004,-2.5,3.465306165852626,6.158991564017116
oceanography,36,36,0,158,1.3391715615025093,36.0,41.47070775489631,38.30283909285404
earth science,16,12,4,75,1.2233074587940758,11.0,19.666301542710613,12.762174305922061
materials science,36,0,36,195,1.4993797043198263,-9.0,10.674065542889977,0.0
materials science,43,14,29,47,0.7284503945119997,6.75,15.116543635819625,6.830310123260227
business administration,26,4,22,85,1.2742886474255393,-1.5,11.654664986763342,1.6269750814440034
data science,38,1,37,20,1.0495318704174725,-8.25,6.650996345984781,0.0
physical chemistry,36,21,15,195,1.131729311640349,17.25,31.18582803735,25.934332871779016
creative writing,32,29,3,55,0.7582339466488459,28.25,37.88632708842866,30.250941267426697
business administration,30,22,8,107,0.8770416322322804,20.0,29.438811444874688,20.94636164613099
molecular biology,47,33,14,126,1.2724240723066336,29.5,47.69957528249334,31.815614982953395
early childhood education,20,8,12,93,0.6293248800880898,5.0,18.717552346807402,5.970056416723806
finance,20,15,5,130,1.343244113231635,13.75,27.122631227989444,15.951053237992783
philosophy,40,0,40,18,1.4952313816050147,-10.0,1.7455182149558972,0.0
statistics,44,18,26,181,0.705098851933006,11.5,27.04087010990059,22.305356677718752
